I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,Angle
358,351,343,585,684,754,449,354,533,0,0,0,0,0,0,1
359,352,344,585,683,755,450,354,533,0,0,0,0,0,0,1
359,352,344,586,683,756,450,354,533,0,0,0,0,0,0,1
357,352,343,585,682,754,450,354,533,0,0,0,0,0,0,1
355,351,343,585,680,755,449,353,532,0,0,0,0,0,0,1
358,350,343,584,679,755,449,352,532,0,0,0,0,0,0,1
358,351,343,584,680,756,450,353,531,0,0,0,0,0,0,1
358,350,342,584,678,755,450,353,532,0,0,0,0,0,0,1
359,351,343,586,677,756,450,353,532,0,0,0,0,0,0,1
359,352,343,586,680,756,451,354,532,0,0,0,0,0,0,1
359,351,343,586,680,755,450,354,531,0,0,0,0,0,0,1
358,351,343,586,679,756,449,353,531,0,0,0,0,0,0,1
359,351,343,588,682,756,451,354,531,0,0,0,0,0,0,1
359,351,343,589,682,757,449,353,530,0,0,0,0,0,0,1
357,352,343,590,682,757,450,353,532,0,0,0,0,0,0,1
358,352,343,591,682,757,451,354,531,0,0,0,0,0,0,1
359,352,343,591,682,757,452,355,532,0,0,0,0,0,0,1
358,351,343,591,682,757,449,351,530,0,0,0,0,0,0,1
359,352,343,592,682,757,451,354,533,0,0,0,0,0,0,1
358,351,343,591,682,757,450,354,532,0,0,0,0,0,0,1
358,351,343,593,682,757,449,354,532,0,0,0,0,0,0,1
358,351,343,594,683,757,449,354,532,0,0,0,0,0,0,1
358,351,343,592,683,757,448,354,532,0,0,0,0,0,0,1
358,351,342,595,684,758,448,354,531,0,0,0,0,0,0,1
357,351,342,593,682,757,447,354,533,0,0,0,0,0,0,1
358,351,344,591,682,757,448,355,533,0,0,0,0,0,0,1
358,351,343,591,682,757,447,354,533,0,0,0,0,0,0,1
358,351,343,594,682,758,447,354,532,0,0,0,0,0,0,1
358,350,342,598,684,758,447,354,532,0,0,0,0,0,0,1
357,348,342,597,683,757,445,352,532,0,0,0,0,0,0,1
357,350,342,594,682,755,444,352,531,0,0,0,0,0,0,1
358,351,342,587,683,755,446,353,530,0,0,0,0,0,0,1
358,351,342,594,683,756,447,352,531,0,0,0,0,0,0,1
356,349,340,608,683,757,449,352,529,0,0,0,0,0,0,1
357,351,342,593,682,757,450,354,530,0,0,0,0,0,0,1
356,351,342,593,683,757,450,354,530,0,0,0,0,0,0,1
358,352,343,595,684,758,451,354,531,0,0,0,0,0,0,1
359,352,343,594,685,758,450,354,531,0,0,0,0,0,0,1
359,352,343,593,685,758,451,355,530,0,0,0,0,0,0,1
360,351,344,593,684,758,452,355,531,0,0,0,0,0,0,1
360,352,344,591,684,758,452,355,531,0,0,0,0,0,0,1
359,353,344,591,685,758,452,356,532,0,0,0,0,0,0,1
360,354,345,589,686,759,452,356,533,0,0,0,0,0,0,1
360,354,345,590,685,759,453,357,534,0,0,0,0,0,0,1
360,354,345,589,686,759,452,357,533,0,0,0,0,0,0,1
360,354,346,592,686,760,453,358,535,0,0,0,0,0,0,1
361,354,345,590,686,760,452,357,536,0,0,0,0,0,0,1
362,355,346,590,687,760,453,358,537,0,0,0,0,0,0,1
361,355,346,591,687,760,454,358,536,0,0,0,0,0,0,1
361,355,346,593,687,761,454,358,537,0,0,0,0,0,0,1
362,355,346,591,687,760,454,358,535,0,0,0,0,0,0,1
362,355,346,590,687,761,454,357,535,0,0,0,0,0,0,1
362,355,346,591,685,760,454,357,535,0,0,0,0,0,0,1
362,355,346,592,685,761,454,358,536,0,0,0,0,0,0,1
362,355,346,592,685,761,454,357,536,0,0,0,0,0,0,1
360,354,345,591,685,759,453,357,536,0,0,0,0,0,0,1
361,355,346,587,685,760,454,357,537,0,0,0,0,0,0,1
362,355,346,587,686,760,455,358,537,0,0,0,0,0,0,1
362,355,346,589,685,760,456,358,537,0,0,0,0,0,0,1
362,355,347,588,685,760,456,358,538,0,0,0,0,0,0,1
362,356,346,588,685,760,456,358,539,0,0,0,0,0,0,1
361,355,347,589,686,761,456,358,539,0,0,0,0,0,0,1
361,356,347,589,686,760,457,358,539,0,0,0,0,0,0,1
363,356,347,587,687,760,457,359,537,0,0,0,0,0,0,1
361,355,346,587,686,760,455,357,536,0,0,0,0,0,0,1
361,355,346,587,685,760,457,358,537,0,0,0,0,0,0,1
360,353,344,586,683,759,455,356,532,0,0,0,0,0,0,1
360,354,345,587,683,759,456,358,537,0,0,0,0,0,0,1
361,355,346,588,684,757,456,357,537,0,0,0,0,0,0,1
360,354,345,587,681,757,455,356,537,0,0,0,0,0,0,1
361,354,345,586,682,757,454,356,537,0,0,0,0,0,0,1
360,354,345,586,682,756,454,356,535,0,0,0,0,0,0,1
360,354,345,587,682,757,454,356,536,0,0,0,0,0,0,1
361,354,345,588,682,757,454,357,536,0,0,0,0,0,0,1
360,354,345,587,683,756,455,356,537,0,0,0,0,0,0,1
361,354,345,588,683,756,454,355,538,0,0,0,0,0,0,1
361,354,345,588,683,756,454,357,537,0,0,0,0,0,0,1
361,355,346,589,683,757,455,357,537,0,0,0,0,0,0,1
361,355,345,588,683,757,455,357,538,0,0,0,0,0,0,1
362,355,346,590,684,757,456,358,540,0,0,0,0,0,0,1
361,355,346,589,684,757,455,358,539,0,0,0,0,0,0,1
361,355,346,589,684,757,455,358,539,0,0,0,0,0,0,1
361,354,346,588,684,757,455,357,539,0,0,0,0,0,0,1
362,355,346,589,684,758,455,357,539,0,0,0,0,0,0,1
361,356,346,588,685,759,454,357,539,0,0,0,0,0,0,1
361,355,346,587,684,758,453,357,540,0,0,0,0,0,0,1
361,355,345,588,685,758,455,358,540,0,0,0,0,0,0,1
361,355,346,589,684,759,455,358,541,0,0,0,0,0,0,1
361,356,346,588,684,758,455,358,541,0,0,0,0,0,0,1
359,354,346,587,680,758,455,357,540,0,0,0,0,0,0,1
360,355,346,589,681,759,456,357,539,0,0,0,0,0,0,1
360,355,346,587,682,757,455,357,542,0,0,0,0,0,0,1
362,354,345,587,681,758,454,356,540,0,0,0,0,0,0,1
360,354,344,588,679,758,453,356,538,0,0,0,0,0,0,1
360,354,345,587,678,753,454,355,537,0,0,0,0,0,0,1
360,353,344,586,677,754,452,355,535,0,0,0,0,0,0,1
358,353,343,586,675,755,452,354,536,0,0,0,0,0,0,1
360,353,344,586,676,755,453,355,536,0,0,0,0,0,0,1
360,352,344,586,675,755,452,355,536,0,0,0,0,0,0,1
359,352,344,585,677,753,452,355,537,0,0,0,0,0,0,1
359,353,343,586,677,753,450,354,537,0,0,0,0,0,0,1
357,351,343,584,679,748,450,354,536,0,0,0,0,0,0,1
358,352,343,585,678,752,448,354,537,0,0,0,0,0,0,1
359,353,343,586,679,754,448,354,537,0,0,0,0,0,0,1
359,352,343,588,673,755,450,354,537,0,0,0,0,0,0,1
360,352,344,588,678,756,453,356,538,0,0,0,0,0,0,1
359,353,344,589,679,756,453,355,537,0,0,0,0,0,0,1
359,353,344,589,674,756,453,355,537,0,0,0,0,0,0,1
360,353,345,591,677,757,455,357,538,0,0,0,0,0,0,1
359,353,345,592,677,759,454,356,538,0,0,0,0,0,0,1
361,354,345,594,680,758,452,356,537,0,0,0,0,0,0,1
361,354,345,594,682,756,453,357,541,0,0,0,0,0,0,1
363,355,346,596,684,757,454,358,541,0,0,0,0,0,0,1
362,354,346,597,679,755,452,356,541,0,0,0,0,0,0,1
361,354,345,597,682,754,453,356,540,0,0,0,0,0,0,1
362,355,346,597,684,755,454,358,541,0,0,0,0,0,0,1
363,356,347,599,684,758,455,359,542,0,0,0,0,0,0,1
363,356,347,599,685,758,456,359,543,0,0,0,0,0,0,1
363,356,347,601,684,758,456,358,542,0,0,0,0,0,0,1
362,356,347,599,685,759,454,358,541,0,0,0,0,0,0,1
361,355,346,599,685,760,452,357,540,0,0,0,0,0,0,1
361,355,346,604,685,760,454,358,541,0,0,0,0,0,0,1
362,356,346,600,685,761,456,358,542,0,0,0,0,0,0,1
363,356,346,601,685,761,455,358,541,0,0,0,0,0,0,1
363,356,346,600,686,762,456,359,543,0,0,0,0,0,0,1
364,356,347,605,686,762,457,359,543,0,0,0,0,0,0,1
362,357,347,606,686,762,457,359,543,0,0,0,0,0,0,1
364,357,348,603,686,763,458,360,543,0,0,0,0,0,0,1
362,356,346,608,686,763,458,359,541,0,0,0,0,0,0,1
364,357,348,600,686,763,459,360,540,0,0,0,0,0,0,1
364,358,348,599,686,764,459,360,541,0,0,0,0,0,0,1
365,358,348,600,686,764,460,360,542,0,0,0,0,0,0,1
366,358,348,599,686,764,461,360,542,0,0,0,0,0,0,1
365,358,348,601,684,765,460,361,543,0,0,0,0,0,0,1
365,359,348,603,685,765,460,361,544,0,0,0,0,0,0,1
365,357,348,607,685,764,459,360,543,0,0,0,0,0,0,1
364,358,348,602,686,764,460,360,544,0,0,0,0,0,0,1
366,359,348,608,688,765,461,361,545,0,0,0,0,0,0,1
367,359,349,605,689,765,461,361,545,0,0,0,0,0,0,1
366,359,349,606,688,765,461,362,546,0,0,0,0,0,0,1
367,359,350,605,688,766,462,362,546,0,0,0,0,0,0,1
367,359,350,605,689,766,462,362,546,0,0,0,0,0,0,1
367,359,349,608,688,765,462,361,546,0,0,0,0,0,0,1
367,360,350,601,689,766,463,363,546,0,0,0,0,0,0,1
368,360,350,600,689,766,462,363,545,0,0,0,0,0,0,1
367,360,350,606,689,766,463,362,545,0,0,0,0,0,0,1
367,360,350,601,690,766,464,362,545,0,0,0,0,0,0,1
368,360,351,599,690,766,464,362,546,0,0,0,0,0,0,1
368,359,350,596,685,767,461,362,545,0,0,0,0,0,0,1
367,359,350,596,685,766,461,361,545,0,0,0,0,0,0,1
365,358,349,592,683,765,461,361,545,0,0,0,0,0,0,1
367,359,350,595,686,765,463,362,546,0,0,0,0,0,0,1
368,360,350,596,687,766,463,362,546,0,0,0,0,0,0,1
368,360,351,597,687,766,463,362,545,0,0,0,0,0,0,1
368,359,350,599,687,766,463,363,545,0,0,0,0,0,0,1
369,361,351,595,687,766,464,363,546,0,0,0,0,0,0,1
369,360,350,599,688,767,464,363,545,0,0,0,0,0,0,1
368,359,351,600,688,767,463,363,544,0,0,0,0,0,0,1
368,361,350,603,689,767,463,363,545,0,0,0,0,0,0,1
368,360,350,599,688,767,463,363,545,0,0,0,0,0,0,1
368,360,351,599,688,766,462,363,544,0,0,0,0,0,0,1
367,359,349,607,689,766,461,362,544,0,0,0,0,0,0,1
367,359,348,600,687,766,462,361,544,0,0,0,0,0,0,1
368,360,350,598,687,766,462,363,543,0,0,0,0,0,0,1
367,360,349,602,685,766,461,362,544,0,0,0,0,0,0,1
367,360,349,598,686,766,461,363,543,0,0,0,0,0,0,1
367,360,350,602,686,766,462,362,543,0,0,0,0,0,0,1
368,359,348,605,686,767,462,362,544,0,0,0,0,0,0,1
368,360,350,599,686,766,462,362,545,0,0,0,0,0,0,1
368,360,350,600,687,767,461,363,545,0,0,0,0,0,0,1
368,358,349,603,688,767,461,362,545,0,0,0,0,0,0,1
367,358,350,604,688,766,462,362,546,0,0,0,0,0,0,1
368,359,350,598,689,766,461,360,546,0,0,0,0,0,0,1
367,359,350,591,687,767,462,361,546,0,0,0,0,0,0,1
367,358,348,599,687,766,460,361,546,0,0,0,0,0,0,1
367,359,350,593,689,767,461,361,546,0,0,0,0,0,0,1
367,359,349,592,685,765,458,360,546,0,0,0,0,0,0,1
361,354,345,600,680,766,456,357,541,0,0,0,0,0,0,1
365,357,348,598,684,766,458,358,544,0,0,0,0,0,0,1
364,357,347,599,684,764,458,357,544,0,0,0,0,0,0,1
365,358,348,596,684,764,458,358,545,0,0,0,0,0,0,1
363,357,347,595,682,765,459,358,545,0,0,0,0,0,0,1
363,358,348,594,682,766,459,358,546,0,0,0,0,0,0,1
364,357,348,597,685,765,460,359,546,0,0,0,0,0,0,1
364,357,348,601,684,765,461,360,546,0,0,0,0,0,0,1
365,359,349,598,686,765,460,359,546,0,0,0,0,0,0,1
365,359,349,597,686,766,461,360,546,0,0,0,0,0,0,1
366,359,350,598,686,766,461,360,547,0,0,0,0,0,0,1
366,358,349,601,686,767,460,360,547,0,0,0,0,0,0,1
366,358,349,599,685,766,461,360,546,0,0,0,0,0,0,1
365,359,348,604,684,766,461,361,547,0,0,0,0,0,0,1
365,359,350,598,686,766,462,362,548,0,0,0,0,0,0,1
366,359,350,598,687,768,462,361,547,0,0,0,0,0,0,1
367,360,350,601,688,767,462,360,547,0,0,0,0,0,0,1
366,360,350,599,688,766,462,362,547,0,0,0,0,0,0,1
367,358,350,600,688,767,462,361,547,0,0,0,0,0,0,1
367,360,350,605,689,767,462,362,548,0,0,0,0,0,0,1
366,360,350,598,688,768,462,362,548,0,0,0,0,0,0,1
368,361,351,595,689,768,463,362,548,0,0,0,0,0,0,1
367,360,350,602,689,768,463,362,547,0,0,0,0,0,0,1
367,361,351,594,689,768,463,363,548,0,0,0,0,0,0,1
368,360,351,595,689,768,463,363,548,0,0,0,0,0,0,1
