I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,Angle
537,569,567,684,727,838,686,528,658,594,513,765,462,616,457,3
535,567,566,683,726,837,686,527,656,594,513,764,461,617,457,3
536,567,565,683,727,837,684,526,656,593,513,756,460,616,456,3
534,567,565,683,726,837,684,525,656,592,513,754,459,616,455,3
534,565,564,683,726,838,684,525,655,590,512,751,458,615,455,3
535,566,564,682,724,837,684,525,651,590,511,760,459,615,454,3
534,566,564,680,723,838,682,525,653,591,511,761,459,614,454,3
534,565,563,679,725,837,682,525,653,588,512,761,459,615,456,3
534,565,564,679,725,838,683,526,653,591,512,758,460,616,455,3
535,567,565,680,729,838,682,525,654,592,511,748,458,615,454,3
535,567,565,681,726,838,682,526,654,593,511,757,460,616,455,3
534,567,566,682,725,838,681,525,652,591,509,756,459,615,454,3
532,566,565,682,730,837,678,525,652,592,504,763,460,616,454,3
533,567,565,681,729,837,679,526,654,592,502,764,459,615,455,3
534,568,566,681,730,837,678,526,654,593,504,765,460,617,456,3
534,568,567,683,729,838,682,527,655,592,504,767,461,618,456,3
535,568,565,682,727,838,678,524,647,590,503,767,460,617,455,3
533,566,564,683,727,837,679,524,646,592,502,768,459,617,455,3
533,567,565,683,728,837,681,526,648,593,503,768,461,618,457,3
536,569,567,685,730,837,682,527,657,593,504,767,462,618,457,3
536,570,568,685,729,838,681,527,657,595,504,764,461,618,457,3
537,569,568,685,732,838,683,528,656,596,503,761,462,619,457,3
536,569,568,685,733,838,683,528,657,596,504,754,461,619,456,3
536,569,568,685,731,836,684,528,657,596,504,759,462,620,457,3
537,570,569,685,731,837,684,529,659,597,506,769,463,621,458,3
538,571,569,684,730,837,684,529,656,596,506,769,463,621,458,3
538,571,569,684,730,837,685,529,654,596,507,769,463,622,459,3
539,573,571,685,732,836,685,530,661,597,508,769,464,623,460,3
539,573,572,686,732,836,686,530,660,597,508,766,464,623,459,3
539,573,571,684,729,837,685,530,658,597,508,765,463,623,458,3
539,572,571,685,730,835,686,529,659,596,508,763,463,623,458,3
538,571,570,685,728,836,685,529,654,594,509,765,462,622,458,3
538,571,570,685,729,836,685,529,652,593,507,771,463,621,458,3
539,572,570,685,732,837,685,529,655,594,508,773,464,621,459,3
539,574,572,685,731,836,686,530,658,596,509,773,464,623,460,3
540,574,573,686,731,837,687,531,659,597,509,774,464,624,460,3
540,574,573,686,733,837,687,531,659,598,509,774,464,624,460,3
540,574,573,687,733,836,687,531,656,597,507,774,463,623,459,3
538,573,571,686,731,837,686,529,651,597,506,774,462,623,459,3
538,572,571,686,731,836,685,528,647,596,505,775,462,623,458,3
538,572,570,686,732,838,686,530,654,598,507,775,464,624,460,3
540,574,573,687,733,837,686,531,657,599,508,775,465,625,460,3
541,575,573,687,732,837,687,531,658,600,509,776,465,626,461,3
540,575,573,688,733,838,687,531,658,598,508,775,466,626,461,3
541,575,573,688,734,838,687,531,657,598,508,774,465,626,461,3
