I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,Angle
373,383,369,626,687,747,473,389,681,0,0,0,0,0,0,0
371,382,368,631,686,746,470,388,685,0,0,0,0,0,0,0
369,381,367,637,684,747,471,391,692,0,0,0,0,0,0,0
372,382,368,633,686,748,475,390,692,0,0,0,0,0,0,0
371,382,369,634,687,748,475,389,687,0,0,0,0,0,0,0
372,383,370,621,688,749,471,386,670,0,0,0,0,0,0,0
373,384,370,622,688,750,476,391,683,0,0,0,0,0,0,0
376,386,371,619,689,751,478,393,690,0,0,0,0,0,0,0
374,385,371,635,688,752,477,392,692,0,0,0,0,0,0,0
374,386,372,625,690,752,478,393,689,0,0,0,0,0,0,0
375,387,373,616,690,751,477,393,688,0,0,0,0,0,0,0
374,387,372,619,690,751,476,392,685,0,0,0,0,0,0,0
373,385,370,616,689,751,476,391,688,0,0,0,0,0,0,0
374,386,370,620,690,751,474,391,693,0,0,0,0,0,0,0
374,385,370,610,689,750,476,392,682,0,0,0,0,0,0,0
373,385,371,613,688,742,476,391,682,0,0,0,0,0,0,0
371,381,368,609,686,742,474,389,678,0,0,0,0,0,0,0
373,383,368,611,684,745,474,387,678,0,0,0,0,0,0,0
372,384,371,607,686,747,475,389,678,0,0,0,0,0,0,0
373,384,369,609,687,747,474,390,684,0,0,0,0,0,0,0
374,385,371,612,687,748,475,389,690,0,0,0,0,0,0,0
374,385,371,612,688,749,475,390,691,0,0,0,0,0,0,0
374,384,370,611,687,749,475,390,690,0,0,0,0,0,0,0
375,386,371,611,688,750,473,391,685,0,0,0,0,0,0,0
375,385,371,611,687,750,475,391,688,0,0,0,0,0,0,0
375,386,372,612,688,750,478,391,680,0,0,0,0,0,0,0
374,385,371,612,687,750,477,390,680,0,0,0,0,0,0,0
373,384,370,613,686,750,477,389,666,0,0,0,0,0,0,0
371,383,367,607,687,751,475,390,671,0,0,0,0,0,0,0
366,378,368,605,686,750,477,391,684,0,0,0,0,0,0,0
374,383,370,608,685,750,475,388,654,0,0,0,0,0,0,0
375,386,371,609,685,751,479,392,675,0,0,0,0,0,0,0
375,386,372,609,686,751,479,392,679,0,0,0,0,0,0,0
374,385,370,610,687,751,477,389,670,0,0,0,0,0,0,0
372,384,370,607,683,752,478,389,670,0,0,0,0,0,0,0
373,385,370,607,686,753,478,390,669,0,0,0,0,0,0,0
373,385,370,606,686,752,478,390,669,0,0,0,0,0,0,0
374,386,371,607,687,753,480,392,677,0,0,0,0,0,0,0
373,386,370,607,687,753,480,392,669,0,0,0,0,0,0,0
372,384,368,605,681,752,478,390,667,0,0,0,0,0,0,0
371,383,367,605,683,752,476,387,656,0,0,0,0,0,0,0
370,383,367,608,681,752,479,390,674,0,0,0,0,0,0,0
373,385,371,606,684,753,480,391,678,0,0,0,0,0,0,0
375,385,371,609,683,751,478,392,686,0,0,0,0,0,0,0
374,385,369,613,684,750,477,389,678,0,0,0,0,0,0,0
373,385,371,615,683,750,480,392,679,0,0,0,0,0,0,0
372,385,369,616,684,750,477,388,672,0,0,0,0,0,0,0
