I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,Angle
550,590,587,708,752,839,705,522,673,524,439,439,577,586,439,2
550,590,587,709,752,841,705,522,674,524,440,440,577,586,440,2
551,590,588,709,752,841,704,523,674,524,439,440,577,586,439,2
551,590,587,708,752,841,705,523,673,525,439,440,577,586,439,2
552,590,587,708,752,841,705,523,674,525,439,440,577,586,440,2
549,591,587,708,752,841,705,523,673,525,439,440,577,586,440,2
550,591,587,708,751,841,705,522,673,525,439,440,577,587,440,2
551,591,588,708,752,841,705,523,673,525,439,440,577,586,439,2
551,590,587,708,753,842,705,523,673,525,439,440,577,586,440,2
552,590,587,708,752,841,705,523,673,525,440,440,578,587,439,2
551,590,587,709,752,842,705,523,673,524,440,441,578,588,440,2
551,590,587,709,752,842,705,522,674,525,439,439,577,586,439,2
551,590,587,708,751,843,705,522,673,525,439,441,576,586,439,2
552,590,586,708,752,843,704,522,673,525,439,440,576,586,439,2
552,590,586,708,752,842,705,522,673,524,439,440,576,586,439,2
552,589,586,708,752,841,705,522,673,524,439,439,576,585,439,2
552,589,586,708,752,841,705,522,673,524,439,440,576,585,439,2
552,590,586,708,752,842,705,522,673,524,439,440,576,586,439,2
553,589,586,708,752,842,705,523,672,524,439,439,573,584,439,2
552,590,586,708,752,843,705,522,672,524,438,439,575,584,439,2
551,589,585,708,752,843,705,522,673,524,438,438,573,583,438,2
551,589,586,708,751,843,705,521,673,523,437,438,570,580,437,2
550,589,585,707,752,843,705,521,673,523,437,438,572,582,438,2
551,589,586,708,751,842,705,522,673,524,438,439,573,583,438,2
554,590,586,708,751,842,705,522,673,524,438,439,572,581,438,2
553,589,586,708,752,842,705,522,673,524,438,438,571,580,438,2
554,589,587,708,752,842,705,522,673,525,439,440,577,586,439,2
553,590,587,708,753,841,705,523,673,526,440,441,579,589,440,2
554,590,586,708,753,842,705,523,673,525,440,441,579,589,440,2
553,590,587,709,752,842,705,523,673,525,439,440,577,587,439,2
553,589,586,708,752,841,705,523,673,525,439,440,576,586,440,2
554,590,586,708,753,841,705,523,673,525,439,440,575,585,439,2
553,589,586,708,752,840,705,522,674,524,437,438,572,580,438,2
552,590,586,708,752,841,705,521,673,524,438,438,570,581,438,2
551,589,586,708,752,840,705,522,673,524,439,439,575,585,438,2
551,589,586,708,752,840,705,522,673,524,438,439,572,582,438,2
551,589,585,708,752,841,705,521,673,524,437,438,569,578,437,2
551,589,586,708,754,840,705,521,673,524,437,438,571,580,438,2
551,589,586,708,753,840,705,521,674,524,438,438,571,581,437,2
551,589,586,709,752,839,705,521,673,523,438,438,572,582,438,2
551,588,585,708,752,841,705,522,674,524,438,438,571,580,437,2
553,589,586,708,752,841,705,521,673,524,437,438,571,581,438,2
554,590,587,708,752,839,705,522,673,524,437,438,573,582,438,2
551,590,587,708,752,838,705,522,674,525,437,438,570,580,438,2
553,590,586,708,752,834,705,521,673,524,437,438,569,578,437,2
554,590,587,708,752,836,705,521,674,524,437,438,569,578,437,2
552,590,587,708,752,831,705,521,673,524,437,438,570,579,437,2
552,590,587,708,752,832,705,522,673,525,438,438,571,580,437,2
553,591,587,708,752,835,705,522,674,525,438,439,571,580,438,2
553,590,587,708,752,829,705,522,673,525,438,438,571,580,437,2
552,590,588,708,751,827,705,521,674,524,438,438,571,579,437,2
553,590,587,709,751,830,706,522,673,524,437,438,569,578,437,2
554,590,587,708,752,832,706,522,674,525,438,438,569,579,437,2
553,590,587,708,752,832,706,522,675,525,438,438,570,579,438,2
553,590,587,708,752,832,707,522,674,525,438,438,570,580,438,2
554,591,587,708,752,831,706,522,674,525,438,439,572,581,438,2
553,591,587,708,752,834,706,522,674,524,438,438,571,580,437,2
551,590,587,709,753,836,706,522,674,524,438,438,572,581,437,2
549,591,587,708,752,835,706,521,674,524,438,438,572,581,437,2
549,590,587,708,752,834,706,521,673,523,437,438,570,579,437,2
548,590,587,708,752,833,706,521,673,523,437,438,571,580,437,2
548,591,587,708,752,835,706,521,673,523,437,438,571,580,437,2
548,590,588,708,752,834,706,521,674,523,437,439,572,581,437,2
548,591,588,707,753,835,705,522,674,524,438,439,573,583,438,2
548,591,588,708,753,836,706,522,673,524,438,439,574,584,439,2
548,592,588,708,753,836,706,522,674,524,439,439,577,586,439,2
549,592,589,708,752,838,706,523,674,524,439,439,576,585,439,2
549,592,588,708,753,838,706,522,674,524,438,439,575,584,439,2
549,592,589,708,753,837,706,523,674,525,439,440,577,586,439,2
549,592,589,708,753,837,706,522,674,525,439,440,576,586,439,2
549,592,589,708,753,837,706,523,673,525,440,440,577,588,439,2
549,592,589,709,753,837,706,522,674,525,439,440,576,586,439,2
549,592,589,708,754,838,706,523,674,525,439,440,577,587,439,2
549,592,589,708,753,837,707,522,673,525,440,440,576,586,440,2
551,593,589,708,753,836,707,522,674,525,439,440,575,585,439,2
551,592,589,708,753,837,706,523,673,525,439,439,574,584,439,2
551,592,589,708,753,837,707,522,674,525,438,439,573,583,438,2
551,592,588,708,753,839,707,523,674,525,439,440,577,587,440,2
551,592,590,708,753,839,706,524,673,526,440,441,578,588,440,2
552,593,590,708,753,839,707,524,674,526,439,440,576,586,439,2
551,592,589,709,754,839,707,523,673,526,439,440,577,586,440,2
